line,family,size,model,language,accuracy,valid_response_rate,parse_failure_rate,correct,samples
Qwen-S,Qwen,S,qwen/qwen3-8b,Arabic,0.7266009852,1.0000000000,0.0000000000,295,406
Qwen-S,Qwen,S,qwen/qwen3-8b,English,0.6970443350,1.0000000000,0.0000000000,283,406
Qwen-M,Qwen,M,qwen/qwen3-32b,Arabic,0.7857142857,1.0000000000,0.0000000000,319,406
Qwen-M,Qwen,M,qwen/qwen3-32b,English,0.7413793103,1.0000000000,0.0000000000,301,406
Qwen-L,Qwen,L,qwen/qwen3-235b-a22b,Arabic,0.8029556650,1.0000000000,0.0000000000,326,406
Qwen-L,Qwen,L,qwen/qwen3-235b-a22b,English,0.7783251232,1.0000000000,0.0000000000,316,406
DeepSeek-S,DeepSeek,S,deepseek/deepseek-r1-distill-llama-70b,Arabic,0.8275862069,1.0000000000,0.0000000000,336,406
DeepSeek-S,DeepSeek,S,deepseek/deepseek-r1-distill-llama-70b,English,0.7980295567,1.0000000000,0.0000000000,324,406
DeepSeek-M,DeepSeek,M,deepseek/deepseek-chat-v3.1,Arabic,0.8325123153,1.0000000000,0.0000000000,338,406
DeepSeek-M,DeepSeek,M,deepseek/deepseek-chat-v3.1,English,0.7980295567,1.0000000000,0.0000000000,324,406
DeepSeek-L,DeepSeek,L,deepseek/deepseek-r1,Arabic,0.8497536946,1.0000000000,0.0000000000,345,406
DeepSeek-L,DeepSeek,L,deepseek/deepseek-r1,English,0.8128078818,1.0000000000,0.0000000000,330,406
Llama-S,Llama,S,meta-llama/llama-3.2-3b-instruct,Arabic,0.4827586207,0.9975369458,0.0024630542,196,406
Llama-S,Llama,S,meta-llama/llama-3.2-3b-instruct,English,0.4876847291,0.9778325123,0.0221674877,198,406
Llama-M,Llama,M,meta-llama/llama-3.1-8b-instruct,Arabic,0.6182266010,0.9334975369,0.0665024631,251,406
Llama-M,Llama,M,meta-llama/llama-3.1-8b-instruct,English,0.5394088670,0.8423645320,0.1576354680,219,406
Llama-L,Llama,L,meta-llama/llama-3.3-70b-instruct,Arabic,0.7290640394,0.9729064039,0.0270935961,296,406
Llama-L,Llama,L,meta-llama/llama-3.3-70b-instruct,English,0.7339901478,0.9802955665,0.0197044335,298,406
Gemma-S,Gemma,S,google/gemma-3-4b-it,Arabic,0.6600985222,0.9950738916,0.0049261084,268,406
Gemma-S,Gemma,S,google/gemma-3-4b-it,English,0.6773399015,0.9975369458,0.0024630542,275,406
Gemma-M,Gemma,M,google/gemma-3-12b-it,Arabic,0.7586206897,1.0000000000,0.0000000000,308,406
Gemma-M,Gemma,M,google/gemma-3-12b-it,English,0.7339901478,1.0000000000,0.0000000000,298,406
Gemma-L,Gemma,L,google/gemma-3-27b-it,Arabic,0.7832512315,1.0000000000,0.0000000000,318,406
Gemma-L,Gemma,L,google/gemma-3-27b-it,English,0.7536945813,1.0000000000,0.0000000000,306,406
