line,family,size,model,category,accuracy,valid_response_rate,parse_failure_rate,correct,samples
Qwen-S,Qwen,S,qwen/qwen3-8b,Different Islamic opinions,0.8928571429,1.0000000000,0.0000000000,75,84
Qwen-S,Qwen,S,qwen/qwen3-8b,Extraordinary events,0.5563380282,1.0000000000,0.0000000000,79,142
Qwen-S,Qwen,S,qwen/qwen3-8b,General,0.7740740741,1.0000000000,0.0000000000,209,270
Qwen-S,Qwen,S,qwen/qwen3-8b,Islamically discouraged,0.5555555556,1.0000000000,0.0000000000,50,90
Qwen-S,Qwen,S,qwen/qwen3-8b,Misconceptions,0.8688524590,1.0000000000,0.0000000000,106,122
Qwen-S,Qwen,S,qwen/qwen3-8b,Other faiths,0.5673076923,1.0000000000,0.0000000000,59,104
Qwen-M,Qwen,M,qwen/qwen3-32b,Different Islamic opinions,0.7500000000,1.0000000000,0.0000000000,63,84
Qwen-M,Qwen,M,qwen/qwen3-32b,Extraordinary events,0.8169014085,1.0000000000,0.0000000000,116,142
Qwen-M,Qwen,M,qwen/qwen3-32b,General,0.8333333333,1.0000000000,0.0000000000,225,270
Qwen-M,Qwen,M,qwen/qwen3-32b,Islamically discouraged,0.6222222222,1.0000000000,0.0000000000,56,90
Qwen-M,Qwen,M,qwen/qwen3-32b,Misconceptions,0.8770491803,1.0000000000,0.0000000000,107,122
Qwen-M,Qwen,M,qwen/qwen3-32b,Other faiths,0.5096153846,1.0000000000,0.0000000000,53,104
Qwen-L,Qwen,L,qwen/qwen3-235b-a22b,Different Islamic opinions,0.8690476190,1.0000000000,0.0000000000,73,84
Qwen-L,Qwen,L,qwen/qwen3-235b-a22b,Extraordinary events,0.8028169014,1.0000000000,0.0000000000,114,142
Qwen-L,Qwen,L,qwen/qwen3-235b-a22b,General,0.8888888889,1.0000000000,0.0000000000,240,270
Qwen-L,Qwen,L,qwen/qwen3-235b-a22b,Islamically discouraged,0.5333333333,1.0000000000,0.0000000000,48,90
Qwen-L,Qwen,L,qwen/qwen3-235b-a22b,Misconceptions,0.8606557377,1.0000000000,0.0000000000,105,122
Qwen-L,Qwen,L,qwen/qwen3-235b-a22b,Other faiths,0.5961538462,1.0000000000,0.0000000000,62,104
DeepSeek-S,DeepSeek,S,deepseek/deepseek-r1-distill-llama-70b,Different Islamic opinions,0.8571428571,1.0000000000,0.0000000000,72,84
DeepSeek-S,DeepSeek,S,deepseek/deepseek-r1-distill-llama-70b,Extraordinary events,0.8239436620,1.0000000000,0.0000000000,117,142
DeepSeek-S,DeepSeek,S,deepseek/deepseek-r1-distill-llama-70b,General,0.8777777778,1.0000000000,0.0000000000,237,270
DeepSeek-S,DeepSeek,S,deepseek/deepseek-r1-distill-llama-70b,Islamically discouraged,0.6222222222,1.0000000000,0.0000000000,56,90
DeepSeek-S,DeepSeek,S,deepseek/deepseek-r1-distill-llama-70b,Misconceptions,0.9016393443,1.0000000000,0.0000000000,110,122
DeepSeek-S,DeepSeek,S,deepseek/deepseek-r1-distill-llama-70b,Other faiths,0.6538461538,1.0000000000,0.0000000000,68,104
DeepSeek-M,DeepSeek,M,deepseek/deepseek-chat-v3.1,Different Islamic opinions,0.9047619048,1.0000000000,0.0000000000,76,84
DeepSeek-M,DeepSeek,M,deepseek/deepseek-chat-v3.1,Extraordinary events,0.8591549296,1.0000000000,0.0000000000,122,142
DeepSeek-M,DeepSeek,M,deepseek/deepseek-chat-v3.1,General,0.9148148148,1.0000000000,0.0000000000,247,270
DeepSeek-M,DeepSeek,M,deepseek/deepseek-chat-v3.1,Islamically discouraged,0.6666666667,1.0000000000,0.0000000000,60,90
DeepSeek-M,DeepSeek,M,deepseek/deepseek-chat-v3.1,Misconceptions,0.8606557377,1.0000000000,0.0000000000,105,122
DeepSeek-M,DeepSeek,M,deepseek/deepseek-chat-v3.1,Other faiths,0.5000000000,1.0000000000,0.0000000000,52,104
DeepSeek-L,DeepSeek,L,deepseek/deepseek-r1,Different Islamic opinions,0.8214285714,1.0000000000,0.0000000000,69,84
DeepSeek-L,DeepSeek,L,deepseek/deepseek-r1,Extraordinary events,0.9436619718,1.0000000000,0.0000000000,134,142
DeepSeek-L,DeepSeek,L,deepseek/deepseek-r1,General,0.9148148148,1.0000000000,0.0000000000,247,270
DeepSeek-L,DeepSeek,L,deepseek/deepseek-r1,Islamically discouraged,0.7000000000,1.0000000000,0.0000000000,63,90
DeepSeek-L,DeepSeek,L,deepseek/deepseek-r1,Misconceptions,0.8524590164,1.0000000000,0.0000000000,104,122
DeepSeek-L,DeepSeek,L,deepseek/deepseek-r1,Other faiths,0.5576923077,1.0000000000,0.0000000000,58,104
Llama-S,Llama,S,meta-llama/llama-3.2-3b-instruct,Different Islamic opinions,0.1666666667,0.9880952381,0.0119047619,14,84
Llama-S,Llama,S,meta-llama/llama-3.2-3b-instruct,Extraordinary events,0.4929577465,1.0000000000,0.0000000000,70,142
Llama-S,Llama,S,meta-llama/llama-3.2-3b-instruct,General,0.6000000000,0.9888888889,0.0111111111,162,270
Llama-S,Llama,S,meta-llama/llama-3.2-3b-instruct,Islamically discouraged,0.2000000000,0.9666666667,0.0333333333,18,90
Llama-S,Llama,S,meta-llama/llama-3.2-3b-instruct,Misconceptions,0.6639344262,0.9754098361,0.0245901639,81,122
Llama-S,Llama,S,meta-llama/llama-3.2-3b-instruct,Other faiths,0.4711538462,1.0000000000,0.0000000000,49,104
Llama-M,Llama,M,meta-llama/llama-3.1-8b-instruct,Different Islamic opinions,0.5476190476,1.0000000000,0.0000000000,46,84
Llama-M,Llama,M,meta-llama/llama-3.1-8b-instruct,Extraordinary events,0.6549295775,0.9295774648,0.0704225352,93,142
Llama-M,Llama,M,meta-llama/llama-3.1-8b-instruct,General,0.7222222222,0.9740740741,0.0259259259,195,270
Llama-M,Llama,M,meta-llama/llama-3.1-8b-instruct,Islamically discouraged,0.2000000000,0.5777777778,0.4222222222,18,90
Llama-M,Llama,M,meta-llama/llama-3.1-8b-instruct,Misconceptions,0.5491803279,0.7786885246,0.2213114754,67,122
Llama-M,Llama,M,meta-llama/llama-3.1-8b-instruct,Other faiths,0.4903846154,0.9134615385,0.0865384615,51,104
Llama-L,Llama,L,meta-llama/llama-3.3-70b-instruct,Different Islamic opinions,0.6428571429,0.9523809524,0.0476190476,54,84
Llama-L,Llama,L,meta-llama/llama-3.3-70b-instruct,Extraordinary events,0.8239436620,0.9718309859,0.0281690141,117,142
Llama-L,Llama,L,meta-llama/llama-3.3-70b-instruct,General,0.8481481481,0.9814814815,0.0185185185,229,270
Llama-L,Llama,L,meta-llama/llama-3.3-70b-instruct,Islamically discouraged,0.4555555556,0.9888888889,0.0111111111,41,90
Llama-L,Llama,L,meta-llama/llama-3.3-70b-instruct,Misconceptions,0.8196721311,0.9836065574,0.0163934426,100,122
Llama-L,Llama,L,meta-llama/llama-3.3-70b-instruct,Other faiths,0.5096153846,0.9711538462,0.0288461538,53,104
Gemma-S,Gemma,S,google/gemma-3-4b-it,Different Islamic opinions,0.6666666667,1.0000000000,0.0000000000,56,84
Gemma-S,Gemma,S,google/gemma-3-4b-it,Extraordinary events,0.6901408451,1.0000000000,0.0000000000,98,142
Gemma-S,Gemma,S,google/gemma-3-4b-it,General,0.7000000000,0.9888888889,0.0111111111,189,270
Gemma-S,Gemma,S,google/gemma-3-4b-it,Islamically discouraged,0.6333333333,1.0000000000,0.0000000000,57,90
Gemma-S,Gemma,S,google/gemma-3-4b-it,Misconceptions,0.6721311475,1.0000000000,0.0000000000,82,122
Gemma-S,Gemma,S,google/gemma-3-4b-it,Other faiths,0.5865384615,1.0000000000,0.0000000000,61,104
Gemma-M,Gemma,M,google/gemma-3-12b-it,Different Islamic opinions,0.9523809524,1.0000000000,0.0000000000,80,84
Gemma-M,Gemma,M,google/gemma-3-12b-it,Extraordinary events,0.7957746479,1.0000000000,0.0000000000,113,142
Gemma-M,Gemma,M,google/gemma-3-12b-it,General,0.8222222222,1.0000000000,0.0000000000,222,270
Gemma-M,Gemma,M,google/gemma-3-12b-it,Islamically discouraged,0.5222222222,1.0000000000,0.0000000000,47,90
Gemma-M,Gemma,M,google/gemma-3-12b-it,Misconceptions,0.7704918033,1.0000000000,0.0000000000,94,122
Gemma-M,Gemma,M,google/gemma-3-12b-it,Other faiths,0.4807692308,1.0000000000,0.0000000000,50,104
Gemma-L,Gemma,L,google/gemma-3-27b-it,Different Islamic opinions,0.9761904762,1.0000000000,0.0000000000,82,84
Gemma-L,Gemma,L,google/gemma-3-27b-it,Extraordinary events,0.7746478873,1.0000000000,0.0000000000,110,142
Gemma-L,Gemma,L,google/gemma-3-27b-it,General,0.8481481481,1.0000000000,0.0000000000,229,270
Gemma-L,Gemma,L,google/gemma-3-27b-it,Islamically discouraged,0.6000000000,1.0000000000,0.0000000000,54,90
Gemma-L,Gemma,L,google/gemma-3-27b-it,Misconceptions,0.8196721311,1.0000000000,0.0000000000,100,122
Gemma-L,Gemma,L,google/gemma-3-27b-it,Other faiths,0.4711538462,1.0000000000,0.0000000000,49,104
